pregid,postgid,frequency,dt,path
110782,110310,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110782-110310/1Hz_10ms/simulation.batch
110843,110845,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110843-110845/1Hz_10ms/simulation.batch
111617,110457,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/111617-110457/1Hz_10ms/simulation.batch
110699,110881,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110699-110881/1Hz_10ms/simulation.batch
110696,110813,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110696-110813/1Hz_10ms/simulation.batch
110575,110114,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110575-110114/1Hz_10ms/simulation.batch
110170,111603,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110170-111603/1Hz_10ms/simulation.batch
111251,110270,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/111251-110270/1Hz_10ms/simulation.batch
110939,111571,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110939-111571/1Hz_10ms/simulation.batch
111401,109699,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/111401-109699/1Hz_10ms/simulation.batch
109741,109744,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/109741-109744/1Hz_10ms/simulation.batch
110892,110734,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110892-110734/1Hz_10ms/simulation.batch
110463,110058,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110463-110058/1Hz_10ms/simulation.batch
110863,110106,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110863-110106/1Hz_10ms/simulation.batch
111579,109944,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/111579-109944/1Hz_10ms/simulation.batch
109941,109990,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/109941-109990/1Hz_10ms/simulation.batch
110151,110027,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110151-110027/1Hz_10ms/simulation.batch
110545,111472,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110545-111472/1Hz_10ms/simulation.batch
110742,109810,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110742-109810/1Hz_10ms/simulation.batch
111459,110371,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/111459-110371/1Hz_10ms/simulation.batch
110588,110029,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110588-110029/1Hz_10ms/simulation.batch
111326,110115,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/111326-110115/1Hz_10ms/simulation.batch
111437,110791,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/111437-110791/1Hz_10ms/simulation.batch
110380,110621,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110380-110621/1Hz_10ms/simulation.batch
111321,110865,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/111321-110865/1Hz_10ms/simulation.batch
111377,110536,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/111377-110536/1Hz_10ms/simulation.batch
110291,111208,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110291-111208/1Hz_10ms/simulation.batch
110189,110155,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110189-110155/1Hz_10ms/simulation.batch
111418,111052,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/111418-111052/1Hz_10ms/simulation.batch
110689,111390,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110689-111390/1Hz_10ms/simulation.batch
110838,111629,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110838-111629/1Hz_10ms/simulation.batch
111229,111215,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/111229-111215/1Hz_10ms/simulation.batch
110988,110665,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110988-110665/1Hz_10ms/simulation.batch
111186,111456,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/111186-111456/1Hz_10ms/simulation.batch
109737,111566,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/109737-111566/1Hz_10ms/simulation.batch
110818,110073,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110818-110073/1Hz_10ms/simulation.batch
110857,111502,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110857-111502/1Hz_10ms/simulation.batch
110927,109969,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110927-109969/1Hz_10ms/simulation.batch
110354,110301,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110354-110301/1Hz_10ms/simulation.batch
110114,110575,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110114-110575/1Hz_10ms/simulation.batch
111225,110937,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/111225-110937/1Hz_10ms/simulation.batch
110011,111645,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110011-111645/1Hz_10ms/simulation.batch
111318,110187,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/111318-110187/1Hz_10ms/simulation.batch
111251,110970,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/111251-110970/1Hz_10ms/simulation.batch
110202,111628,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110202-111628/1Hz_10ms/simulation.batch
111283,110592,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/111283-110592/1Hz_10ms/simulation.batch
109974,110300,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/109974-110300/1Hz_10ms/simulation.batch
111706,110614,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/111706-110614/1Hz_10ms/simulation.batch
110625,111490,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110625-111490/1Hz_10ms/simulation.batch
110879,111502,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110879-111502/1Hz_10ms/simulation.batch
111617,110781,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/111617-110781/1Hz_10ms/simulation.batch
110303,110055,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110303-110055/1Hz_10ms/simulation.batch
110161,110417,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110161-110417/1Hz_10ms/simulation.batch
111215,109900,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/111215-109900/1Hz_10ms/simulation.batch
110281,110893,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110281-110893/1Hz_10ms/simulation.batch
110592,111283,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110592-111283/1Hz_10ms/simulation.batch
109840,111161,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/109840-111161/1Hz_10ms/simulation.batch
111689,109869,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/111689-109869/1Hz_10ms/simulation.batch
110043,111590,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110043-111590/1Hz_10ms/simulation.batch
109963,110133,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/109963-110133/1Hz_10ms/simulation.batch
110951,111449,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110951-111449/1Hz_10ms/simulation.batch
111634,109957,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/111634-109957/1Hz_10ms/simulation.batch
110293,110290,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110293-110290/1Hz_10ms/simulation.batch
110665,111234,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110665-111234/1Hz_10ms/simulation.batch
109698,109802,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/109698-109802/1Hz_10ms/simulation.batch
111556,110512,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/111556-110512/1Hz_10ms/simulation.batch
110296,110013,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110296-110013/1Hz_10ms/simulation.batch
111236,110878,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/111236-110878/1Hz_10ms/simulation.batch
111509,111558,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/111509-111558/1Hz_10ms/simulation.batch
111454,110697,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/111454-110697/1Hz_10ms/simulation.batch
110279,110397,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110279-110397/1Hz_10ms/simulation.batch
111050,110451,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/111050-110451/1Hz_10ms/simulation.batch
111665,110331,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/111665-110331/1Hz_10ms/simulation.batch
111257,110851,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/111257-110851/1Hz_10ms/simulation.batch
111202,111376,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/111202-111376/1Hz_10ms/simulation.batch
110760,110228,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110760-110228/1Hz_10ms/simulation.batch
111681,109779,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/111681-109779/1Hz_10ms/simulation.batch
109727,111121,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/109727-111121/1Hz_10ms/simulation.batch
110463,109665,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110463-109665/1Hz_10ms/simulation.batch
110569,110672,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110569-110672/1Hz_10ms/simulation.batch
110976,110203,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110976-110203/1Hz_10ms/simulation.batch
111611,110226,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/111611-110226/1Hz_10ms/simulation.batch
110531,110352,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110531-110352/1Hz_10ms/simulation.batch
110350,110345,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110350-110345/1Hz_10ms/simulation.batch
111135,110712,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/111135-110712/1Hz_10ms/simulation.batch
110512,109650,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110512-109650/1Hz_10ms/simulation.batch
111446,111651,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/111446-111651/1Hz_10ms/simulation.batch
110493,111444,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110493-111444/1Hz_10ms/simulation.batch
110432,110742,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110432-110742/1Hz_10ms/simulation.batch
110465,109880,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110465-109880/1Hz_10ms/simulation.batch
109702,109678,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/109702-109678/1Hz_10ms/simulation.batch
110555,110934,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110555-110934/1Hz_10ms/simulation.batch
110398,111057,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110398-111057/1Hz_10ms/simulation.batch
111665,110202,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/111665-110202/1Hz_10ms/simulation.batch
110071,109733,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110071-109733/1Hz_10ms/simulation.batch
111560,109921,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/111560-109921/1Hz_10ms/simulation.batch
109711,109700,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/109711-109700/1Hz_10ms/simulation.batch
110466,110614,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110466-110614/1Hz_10ms/simulation.batch
110842,110899,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110842-110899/1Hz_10ms/simulation.batch
110905,110974,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110905-110974/1Hz_10ms/simulation.batch
110782,110310,10.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110782-110310/10Hz_10ms/simulation.batch
110843,110845,10.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110843-110845/10Hz_10ms/simulation.batch
111617,110457,10.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/111617-110457/10Hz_10ms/simulation.batch
110699,110881,10.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110699-110881/10Hz_10ms/simulation.batch
110696,110813,10.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110696-110813/10Hz_10ms/simulation.batch
110575,110114,10.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110575-110114/10Hz_10ms/simulation.batch
110170,111603,10.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110170-111603/10Hz_10ms/simulation.batch
111251,110270,10.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/111251-110270/10Hz_10ms/simulation.batch
110939,111571,10.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110939-111571/10Hz_10ms/simulation.batch
111401,109699,10.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/111401-109699/10Hz_10ms/simulation.batch
109741,109744,10.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/109741-109744/10Hz_10ms/simulation.batch
110892,110734,10.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110892-110734/10Hz_10ms/simulation.batch
110463,110058,10.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110463-110058/10Hz_10ms/simulation.batch
110863,110106,10.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110863-110106/10Hz_10ms/simulation.batch
111579,109944,10.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/111579-109944/10Hz_10ms/simulation.batch
109941,109990,10.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/109941-109990/10Hz_10ms/simulation.batch
110151,110027,10.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110151-110027/10Hz_10ms/simulation.batch
110545,111472,10.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110545-111472/10Hz_10ms/simulation.batch
110742,109810,10.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110742-109810/10Hz_10ms/simulation.batch
111459,110371,10.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/111459-110371/10Hz_10ms/simulation.batch
110588,110029,10.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110588-110029/10Hz_10ms/simulation.batch
111326,110115,10.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/111326-110115/10Hz_10ms/simulation.batch
111437,110791,10.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/111437-110791/10Hz_10ms/simulation.batch
110380,110621,10.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110380-110621/10Hz_10ms/simulation.batch
111321,110865,10.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/111321-110865/10Hz_10ms/simulation.batch
111377,110536,10.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/111377-110536/10Hz_10ms/simulation.batch
110291,111208,10.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110291-111208/10Hz_10ms/simulation.batch
110189,110155,10.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110189-110155/10Hz_10ms/simulation.batch
111418,111052,10.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/111418-111052/10Hz_10ms/simulation.batch
110689,111390,10.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110689-111390/10Hz_10ms/simulation.batch
110838,111629,10.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110838-111629/10Hz_10ms/simulation.batch
111229,111215,10.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/111229-111215/10Hz_10ms/simulation.batch
110988,110665,10.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/110988-110665/10Hz_10ms/simulation.batch
111186,111456,10.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L4SS_L4SS/111186-111456/10Hz_10ms/simulation.batch
